Identifier,Label,Description,Created,Modified,History notes,Type,
20,Childminding,Information on registered childminders and daycare facilities in the area for parents and caers of pre-school age children.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Childminding' to 'Childcare - child-minding information' in version 3.00.  Term name changed to 'Childminding'  and scope notes updated in version 4.00.,Service,
837,Children and young people - preventative services,The aim of pre-crime prevention scheme is identifying children and young people who are at high risk of offending and helping them to avoid entering the youth justice system.,2013-04-03,2013-04-03,Term name changed from 'Preventative services' to 'Preventative services (young children)' and scope notes added in version 2.02. Term name changed from 'Preventative services (young children)' to 'Children and young people - preventative services' in version 3.00.,Service,
1069,Children's certificate,Children under 14 are not allowed in bars in public houses or hotels unless a Children's Certificate has been granted.  This allows them to sit at a table and have a meal at any time between 11am and 8pm in the area approved by the Licensing Board.,2013-04-03,2013-04-03,Name changed to 'Children's certificates' in version 4.00,Service,
449,Children's libraries,The children's library service offers books and computer learning facilities for children. The library may also provide CDs and cassettes and there will often be organised activities during school holidays.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Children's library service' to 'Libraries - children's services' in version 3.00. Name changed to 'Children's libraries' in version 4.00.,Service,
852,Citizenship ceremonies,Ceremonies organised for individuals who have been granted citizenship.  Attendance at the ceremony is the final step in the citizenship process and applicants for citizenship are required to attend to complete their application.  Ceremonies are typically held at regular intervals and may be for groups of new citizens or for individuals.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Citizenship ceremonies' to 'Ceremonies - citizenship' in version 3.00. Name changed to 'Citizenship ceremonies' and scope notes revised in version 4.00.,Service,
895,Citizenship education,"Providing pupils with the knowledge, understanding and skills which prepare them to play an active role as citizens.  Ensuring that pupils have a clear understanding of their roles, rights and responsibilities in relation to their local, national and international communities.",2013-04-03,2013-04-03,Term name changed from 'Citizenship education' to 'Education - citizenship' in version 3.00. name changed to 'Citizenship education' in version 4.00.,Service,
1413,Civic buildings,Information about the location and opening hours of council offices.  May also include information about public meetings and the availability of civic officials for queries.,2013-04-03,2013-04-03,Added in version 3.09. Name changed to 'Civic buildings' and scope notes revised in version 4.00.,Service,
1555,Civic events,"In addition to formal occasions in which dignitaries are received at the city hall, citizens and associations can also be welcomed, for example in connection with a jubilee celebration, a party on receiving a decoration, handing out honours and distinctions, (exchange) projects with national and foreign partners, etc.",2010-10-20,2010-10-20,Added scope notes in version 3.11.,Service,
1137,Civic liability,Public administrations may be liable and could be subject to legal proceedings where property or other facilites which are owned and maintained by them cause damage or injury to people or property.,2013-04-03,2013-04-03,Name changed to 'Civic liability' and scope notes updated in version 4.00.,Service,
1045,Civic recognition and awards,Recognising the outstanding achievements of individuals and groups and the contributions people make to life in the community in the form of civic recognition or awards typically at an annual awards ceremony.,2013-04-03,2013-04-03,Name changed to 'Civic recognition and awards' and scope notes revised in version 4.00.,Service,
793,Civil emergencies - flooding,Providing advice and information on what to do in the event of a flood.  The council may also provide equipment such as sandbags and engineering advice to help residents/businesses in the event of flooding.,2013-04-03,2013-04-03,Term name changed from 'Flooding' to 'Emergency plans for flooding' and scope notes added in version 2.02. Scope notes updated in version 3.00 to clarify council responsibility. Term name changed from 'Emergency plans for flooding' to 'Civil emergencies - flooding' in version 3.00.,Service,
794,Civil emergencies - gas pipelines,Councils and their partners from the emergency services and public utilities have arrangements in place to respond to emergency incidents involving a major gas pipeline.,2013-04-03,2013-04-03,"Term name changed from 'Pipelines' to 'Pipelines (emergency plans)' and scope notes added in version 2.02, updated in version 3.06. Term name changed from 'Pipelines (emergency plans)' to 'Civil emergencies - gas pipelines' in version 3.00.",Service,
792,Civil emergencies - major accident hazards,"Councils have statutory and discretionary multi-agency plans to respond efficiently and effectively to a known potential hazards within its area. Agencies involved can include the Police, Fire and Rescue, Ambulance Service, utilities providers and voluntary agencies.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Scope notes updated in version 3.06. Term name changed from 'Major accident hazards' to 'Civil emergencies - major accident hazards' in version 3.00.,Service,
729,Civil emergencies - social and psychological support,"Provision of a range of social and psychological support services in the aftermath of a major incident affecting residents or visitors. The council will most probably work closely with voluntary and statutory agencies, so that the services they provide are complementary to those already available.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Scope notes revised in version 3.00 to include other agencies. Term name changed from 'Civil emergencies - Trauma Support Service' to 'Civil emergencies - social and psychological support' in version 3.00.,Service,
875,Civil funerals,"A civil funeral is a celebration reflecting the wishes of the deceased and their family. It is a personal and dignified tribute created by a professional celebrant who works closely with the family or executor and funeral director.  The celebrant will aim to create a highly personal ceremony with the help of family and/or friends -recounting the person's experiences, attributes and qualities using music, poetry, readings and personal anecdotes.  The civil funeral may be held anywhere except religious buildings and churches. The ceremony is appropriate for cremation or burial in a non-religious burial ground.",2013-04-03,2013-04-03,Term name changed from 'Civil funerals' to 'Death - funerals - civil' in version 3.00. Name changed to 'Civil funerals' in version 4.00.,Service,
1296,Civil marriage and civil partnership venue licence,The owner or manager of any premises planning to host civil weddings or partnership cremonies must hold a licence to do so.  The licensed venue must be a permanent structure and the building itself must be in good repair and must have suitable fire precautions in place.,2013-04-03,2013-04-03,Added in version 3.08. Name updated in version 3.09. Name changed to 'Civil marriage and civil partnership venue licence' in version 4.00.,Service,
876,Civil partnerships,"Legal recognition of the relationship of same-sex couples. Couples who form a civil partnership will have a new legal status, that of a civil partner. 
In the UK in order to form a civil partnership you must first give 14 days notice.",2013-04-03,2013-04-03,Scope notes changed in version 3.00 as legislation is now current.,Service,
691,Clean Air Act approval,The local authority is responsible for ensuring compliance with regulations such as those which control smoke emissions and the height of chimneys and those relating to the content and composition of motor fuels.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Scope notes updated in version 3.00 to include relevant legislation. Name changed to 'Clean Air Act approval' in version 4.00.,Service,
232,Client contact problems,Procedures for dealing with an existing social services client who has gone missing or is out of contact for a period which gives cause for concern.  The local authority will usually act jointly with the police in dealing with such incidents.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Missing or out of contact client' to 'Social services - client contact problems' in version 3.00.  Change of name from 'Social services - client contact problems' to 'Social care - client contact problems' in version 3.07. Name changed to @client contact problems' in version 4.00.,Service,
859,Clinical household waste,"Collection and safe disposal of household clinical waste. This includes items such as surgical waste, used syringes, drugs and pharmaceuticals.",2013-04-03,2013-04-03,Term name changed from 'Household waste - clinical waste' to 'Refuse - household waste - clinical' in version 3.00. Name changed to 'Clinical household waste' in version 4.00.,Service,
760,Coastal events,"Provision of information and advice on events which may be ongoing or planned on waterways, in port/harbour areas or in coastal locations within the authority area.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Events (marine)' to 'Coastline - events' in version 3.00. Name changed to 'Coastal events' in version 4.00.,Service,
848,Coastal protection,Review and maintenance of coastal protection (sea walls etc.) within the local authority area.,2013-04-03,2013-04-03,"""Added scope notes in version 2.02. Term name changed from 'Coastal protection' to 'Coastline - protection' in version 3.00. name changed to 'Coastal protection' in version 4.00.",Service,
523,Commercial  clinical waste disposal,"Collection and safe disposal of clinical waste. This includes items such as surgical waste, used syringes, drugs and pharmaceuticals.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Commercial waste - clinical waste disposal' to 'Refuse - commercial waste - clinical waste disposal' in version 3.00. Name changed to 'Commercial clinical waste disposal' in version 4.00.,Service,
93,Commercial lettings,Each local authority provides a list of properties or land currently available to let within the area.,2013-04-03,2013-04-03,Term name changed from 'Lettings' to 'Commercial lettings' and scope notes added in version 2.02. Scope notes updated in version 3.00 to remove reference to purchase. Term name changed from 'Commercial lettings' to 'Land and property - commercial lettings' in version 3.00. Name changed to 'Commercial lettings' in version 4.00.,Service,
900,Commercial property development,"A local authority may provide financial support to help develop and redevelop industrial and commercial land and buildings.  Assistance is directed towards work which will create or enhance existing floor space, bring currently obsolete/vacant land and buildings into beneficial use and improve working conditions",2013-04-03,2013-04-03,Term name changed from 'Land and property improvement' to 'Land and property - improvement' in version 3.00. Name changed to 'Commercial property development' in version 4.00.,Service,
519,Commercial waste bins,Provision of bins for the collection of trade waste.  Bins are usually offered in a variety of sizes to suit the requirements of all local businesses.  Charges are determined by the number and size of bins required.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Commercial waste - trade bins' to 'Refuse - commercial waste - trade bins' in version 3.00. Name changed to 'Commercial waste bins' in version 4.00.,Service,
517,Commercial waste collection,Provision of a regular commercial trade waste collection from local businesses. Businesses are required to provide a written description of their waste and ensure that it is packed in suitable containers.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Commercial waste - collection' to 'Refuse - commercial waste - collection' in version 3.00. Name changed to 'Commercial waste collection' in version 4.00.,Service,
520,Commercial waste disposal sites,"Disposal of commercial waste is the responsibility of the business owner.  The local authority may provide sites which business may use (for a fee) to dispose of their waste.  If available the authority will publish details of the location, opening times, terms and conditions of use and charges for the use of the sites.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Commercial waste - disposal sites' to 'Refuse - commercial waste - disposal sites' in version 3.00. name changed to 'Commercial waste disposal sites' in version 4.00.,Service,
522,Commercial waste special collections,"Any waste generated by a commercial organisation is the responsibility of the organisation to dispose of correctly. Advice on how to dispose of waste may be given by the council (including details of local organisations who offer waste collection services). The council may also provide a service which can arrange for special collections of large amounts of waste, bulky materials or confidential waste from commercial premises for a fee.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Scope notes updated in version 3.00 to include confidential waste. Term name changed from 'Commercial waste - special trade collections' to 'Refuse - commercial waste - special trade collections' in version 3.00. Name changed to 'Commercial waste special collections' in version 4.00.,Service,
518,Commercial waste spillage,The Council will deal with reports of spillages of commercial waste.  Commercial customers are able to use either the service provided by the Local Authority or private contractor. Enforcement of appropriate regulations in respect of waste containment is the responsibility of the council.,2013-04-03,2013-04-03,"Added scope notes in version 2.02, updated in version 3.06. Term name changed from 'Commercial waste - spillage' to 'Refuse - commercial waste - spillage' in version 3.00. Name changed to 'Commerical waste spillage' in version 4.00.",Service,
878,Common Assessment Framework,The Common Assessment Framework (CAF) for Children and Young People is a key part of the strategy to shift the focus from dealing with the consequences of difficulties in children's lives to preventing things from going wrong in the first place. It is a nationally standardised approach to conducting an assessment of the needs of a child or young person and deciding how those needs should be met.,2013-04-03,2013-04-03,Term name changed from 'Common Assessment Framework' to 'Social services - Common Assessment Framework' in version 3.00.  Changed name from version 'Social services - Common Assessment Framework' to 'Social care - Common Assessment Framework' in version 3.07. Name changed to 'Common aSSESSMENT fRAMEWORK' IN VERSION 4.00.,Service,
649,Common land and village greens,The local authority is responsible for maintaining a register of common land and village greens within its boundaries.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Name changed to 'Common land and village greens' in version 4.00.,Service,
122,Communal heating charge,"Communal heating charges for council properties are divided among all residents on an estate, the proportion is added to their rent account.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Communal heating charges' to 'Housing - council - communal heating charge' in version 3.00. Name changed to 'Communal heating charges' in version 4.00.,Service,
140,Communal housing repairs,"The local authority deals with repairs to communal areas within council accommodation such as communal lighting in a block of flats, or the communal drainpipes to a block of garages.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Housing repairs - communal areas' to 'Housing - repairs - communal areas' in version 3.00. Name changed to 'Communal housing repairs' in version 4.00.,Service,
566,Communal lighting,"The local authority is responsible for repairs to communal areas in blocks of flats including stairs, door entry systems, communal lighting, landings, communal windows, courtyards and sheds.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Lighting - council communal flats' to 'Housing - council - lighting' in version 3.00. Name changed to 'Communal lighting' in version 4.00.,Service,
313,Community alarms and Telecare,"The community alarm service provides peace of mind for people who feel at risk in their own homes. It is a 24 hour 365 day monitoring service which works via a special alarm unit connected to the telephone line. 
In the UK Telecare provides support to people in their own homes with the help of technology and community response services, allowing them to live more safely and independently. The equipment available is designed to assist a wide range of people, including older people, people with disabilities and carers.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Care/scan/community alarm services' to 'Social services - community alarm services' in version 3.00.  Changed name from 'Social services - community alarm services' to 'Social services - Community alarms and Telecare' in version 3.07.  Changed name for SSL and scope  notes in version 3.07. Name changed to 'Community alarms and Telecare' in version 4.00.,Service,
296,Community and day centres,Day centres which provide a range of activities and facilities for groups of people.  Places at a day centre are usually allocated following an assessment of needs by a social services officer.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Community/day centres' to 'Social services - community and day centres' in version 3.00. Name changed to 'Community and day centres' in version 4.00.,Service,
719,Community assemblies and committees,Publication of details of local assemblies and committees and the dates and venues for forthcoming meetings.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Assemblies and committees - diary and year book' to 'Community assemblies and committees - schedule of meetings' in version 3.00. Name changed to 'Community assemblies and committees' in version 4.00.,Service,
1149,Community centres,"Community Centres are a physical resource, which acts as a focal point for activities run by communities coming together through geographic proximity or because of a particular interest and/or identity.   Centres provide meeting places for local interest based clubs and societies, venues for adult education classes and public meetings, offices for community projects, plus they also have many other uses. Centres would be lifeless buildings, lacking in character, if they were not 'owned' by communities. People provide the warmth, which makes centres welcoming to communities.",2013-04-03,2013-04-03,Added in version 3.05.,Service,
366,Community engagement,"Community Engagement provides a link between local people, local organisations and decision makers.   Physical or virtual meetings and dialogues provide an opportunity for local leaders to listen to the views of their communities and for local people to have their say.",2013-04-03,2013-04-03,"Added scope notes in version 2.02, updated in version 3.06. Term name changed from 'Council - consultation - open forums' to 'Council - consultation and community engagement' in version 3.06. Name changed to 'Community engagement' and scope notes revised in version 4.00.",Service,
1402,Community equipment loans,"Public organisations may keep supplies of some materials which they will loan to members of the public or local organisations.  Items which may be loaned can be items needed to improve safety at organised events such as fenceposts, crush barriers and safety vests, medical equipment for events or for individuals, technology equipment or anything which can benefit local citizens or voluntary groups.",2013-04-03,2013-04-03,Added in version 3.09. Name changed to 'Community equipment loans' and scope notes revised in version 4.00.,Service,
755,Community facility grants,Provision of grants for improvements to village halls and other local facilities subject to local terms and conditions.,2013-04-03,2013-04-03,"Added scope notes in version 2.02. Term name changed from 'Village halls (advice, grants etc.)' to 'Grants - community facilities' in version 3.00. Name changed to 'Community facility grants' in version 4.00.",Service,
746,Community farms,Farms and smallholdings managed by the local authority on behalf of the community.   Community farms provide an opportunity for children to learn about where food comes from and witness the hustle and bustle and all the elements of a working countryside farm within an urban setting.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Farm management' to 'Farming - farm management' in version 3.00. Name changed to 'Community farms' in version 4.00.,Service,
802,Community fire safety,The local fire authority will help residents and businesses minimise the risk of fire in their homes or place of work by providing advice on fire prevention and protection.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Community fire safety' to 'Fire and rescue - community safety' in version 3.00. Name changed to 'Community fire safety' in version 4.00.,Service,
871,Community grants,Funding made available to community or voluntary groups and organisations which are based in the local area and/or provide services to local people. ,2013-04-03,2013-04-03,Term name changed from 'Community grants' to 'Grants - community' in version 3.00. Name changed to 'Community grants' and scope notes revised in version 4.00.,Service,
1412,Community noticeboards,"Provision of noticeboards which can be used  to inform local people about what is going on in their area; providing information from the local council, the Police and other partner organisations as well as information on activities run by local communities and organisations.",2013-04-03,2013-04-03,Added in version 3.09. Name changed to 'Community noticeboards' and scope notes revised in version 4.00.,Service,
870,Community safety,"Crime, fear of crime and anti-social behaviour is an important consideration for local communities.   Various agencies, including the local council and police, work with the community to reduce crime and risks to safety and to maintain quality of life for people who live, work and visit the area.",2013-04-03,2013-04-03,Scope notes revised in version 4.00.,Service,
720,Community strategy,"Preparation of a community strategy to promote and improve the economic, social and environmental well-being of the local area and to contribute to the achievement of sustainable development. 
In Scotland legislation places duties on local authorities - to initiate, facilitate and maintain Community Planning. Local authorities have a duty to develop a comprehensive Community Plan along with relevant stakeholders to promote or improve the social, economic and environmental well-being of their areas and contribute to the achievement of sustainable development in Scotland.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Scope notes updated in version 3.00 to include Scottish legislation.,Service,
297,Community support groups and organisations,"Information about recognised groups and organisations that provide advice and support for those who may be in need of community care such as the elderly, disabled or those with learning difficulties.",2013-04-03,2013-04-03,Term name changed from 'Support groups and organisations' to 'Community support groups and organisations' and scope notes added in version 2.02. Term name changed from 'Community support groups and organisations' to 'Social services - community support groups and organisations - information' in version 3.00. Name changed to 'Community support groups and organisations' in version 4.00.,Service,
272,Community transport,"Provision of non-profit making transport for members of the community who do not have full mobility and therefore do not have suitable conventional public transport services available for their travel needs.  Includes schemes such as 'dial-a-ride', shopmobility, community bus and car schemes.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Community transport' to 'Transport - community services' in version 3.00. Name changed to 'Community transport' in version 4.00.,Service,
1044,Community wardens,"Wardens deal with a range of quality of life issues, such as keeping neighbourhoods clean, removing graffiti and reporting any issues to the relevant organisations and authorities. The Wardens work with the Police and other agencies to help reduce crime, the fear of crime and all types of antisocial behaviour.",2013-04-03,2013-04-03,,Service,
645,Complaints advocacy,Provision of an advocate who can act on behalf of a customer who has made a complaint about one or more services provided by the local authority.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Complaints - advocacy' to 'Council - complaints - advocacy for complainants' in version 3.00. Name changed to 'Complaints advocacy' in version 4.00.,Service,
353,Complaints procedure,"Provision of a means for local residents and businesses to comment or complain about any of the services it provides.  Complaints may be about the quality of the service,  delays in providing the service, discrimination or the behaviour of council staff or council representatives.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Name changed to 'Complaints procedure' in version 4.00.,Service,
535,Composters,Provision of composters for recycling garden waste.  These may be available to local residents free of charge or for purchase at a subsidised rate.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Name changed to 'Composters' in version 4.00.,Service,
714,Compulsory property acquisition,The council can be granted the power to buy or take rights over private property if it falls within a public or private construction project such as housing regeneration or a redevelopment area / project.  Prior to issue of CPOs there should be a consultation and may be a public enquiry.,2013-04-03,2013-04-03,Added scope notes in version 2.02. scope notes changed in version 3.00 to cover full description of service. Term name changed from 'Private property compulsory acquisition' to 'Land and property - compulsory acquisition - private property' in version 3.00. name changed to 'Compulsory property acquisition' in version 4.00.,Service,
373,"Conference, hall and meeting room hire","Details on any venues the local authority may have available for private/business hire including the location, size, facilities available, cost and how to book.",2013-04-03,2013-04-03,"Term name changed from 'Hall /venue bookings' to 'Hall or venue bookings' and scope notes added in version 2.02. Name changed to include conference and meeting rooms to make scope clearer in version 3.00. Term name changed from 'Hall or venue bookings' to 'Conference, hall and meeting room hire' in version 3.00.",Service,
1355,"Consent for cellars, pavement lights and ventilators under street","In order to make an opening in the footway for a cellar, pavement lights or ventilation consent to do so must have been previously obtained from the local authority.",2013-04-03,2013-04-03,"Added in version 3.10. Name changed to 'Consent for cellars, pavement lights and ventilators under streets' in version 4.00.",Service,
512,Conservation advice,"The local authority provide advice and consultation to local residents who are considering carrying out any works on property within a conservation area.  The authority can advise on the need for permission, their procedures, what should be submitted with an application and the matters that will be taken into account in deciding an application.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Conservation and urban design planning - conservation advice' to 'Planning - conservation advice' in version 3.00. Name changed to 'Conservation advice' in version 4.00.,Service,
511,Conservation areas,"Councils have the power to designate as Conservation Areas, areas of special architectural or historic interest, the character or appearance of which it is desirable to preserve or enhance. It is the responsibility of the council to ensure that any new development should be sympathetic to the special architectural and aesthetic qualities of the area, particularly in terms of scale, design, materials and space between buildings.  Councils have a statutory obligation to compile a list containing particulars of any area which has been designated as a conservation area which is available for public inspection.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Scope notes updated in version 3.00 to include maintaining the statutory register. Term name changed from 'Conservation and urban design planning - conservation areas' to 'Planning - conservation areas' in version 3.00. Name changed to 'Conservation areas' in version 4.00.,Service,
1291,Constitution,"It is a legal requirement for a public sector organisation to have a constitution which sets out how the organisation will operate and the procedures that are followed to ensure that decision making is efficient, transparent and accountable to local people.",2013-04-03,2013-04-03,Added in version 3.07. Name changed to 'Constitution' in version 4.00.,Service,
811,Construction site fire safety,"The construction of domestic, commercial and industrial buildings are bound by fire safety requirements including safe means of escape, internal/external stability, accessibility for fire equipment, containment of smoke/fire.  The local fire service inspect premises to ensure compliance with all legislation.",2013-04-03,2013-04-03,Term name changed from 'Health and safety - construction regulations' to 'Health and safety - construction regulations' and scope notes added in version 2.02. Term name changed from 'Health and safety - construction regulations' to 'Safety - health and safety at work - construction regulations' in version 3.00. Name changed to 'Construction site fire safety' in version 4.00.,Service,
417,Construction site pollution,"Advice and information for developers and for the local community on risks of pollution from construction work. The local authority will monitor construction work to minimise pollution caused by noise, dust and other nuisances.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Scope notes updated to include advice in version 3.00. Term name changed from 'Pollution control - construction information' to 'Pollution control - construction' in version 3.00. Name changed to 'Construction site pollution' in version 4.00.,Service,
787,Consumer advice,Providing consumers with information and advice on minimum standards of buying and selling of goods and services.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Advice to consumers' to 'Consumer advice' in version 3.00.,Service,
418,Contaminated land,Maintenance of a register of contaminated land which is available for public inspection.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Scope notes updated in version 3.00 to include relevant legislation. Term name changed from 'Pollution control - contaminated land' to 'Pollution control - contaminated land ' in version 3.00. Name changed to 'Contaminated land' in version 4.00.,Service,
707,Cooling tower registration,All premises where cooling towers and evaporative condensers are situated must register with the local authority.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Scope notes changed in version 3.00 to include relevant legislation. Term name changed from 'Public health - cooling tower notification' to 'Health - public health - cooling tower registration' in version 3.00. Name changed to 'Cooling tower registration' in version 4.00.,Service,
663,Copy certificates,"Issuing of copies of a certificate for a birth, marriage or death that was registered in the area.",2013-04-03,2013-04-03,Term name changed from 'Copy certificates' to 'Copy certificates' and scope notes added in version 2.02. Term name changed from 'Copy certificates' to 'Registration - copy certificates' in version 3.00. Name changed to 'Copy certificates' in version 4.00.,Service,
1465,Council  expenditure,Publication of details of council expenditure which can be viewed by local residents,2013-04-03,2013-04-03,Added in version 3.10. Name changed to 'Council expenditure' in version 4.00.,Service,
478,Council car parks,"Car parks within the geographic boundaries of a local authority which are owned and run by the local authority. The authority may publish a list of the car parks, their locations and tariffs.",2013-04-03,2013-04-03,Added scope notes in version 2.02. name changed to 'Council car parks' in version 4.00.,Service,
129,Council home modernisation,"Improvements to local authority owned and run properties to bring them up to current acceptable living standards. The improvements should include double-glazed windows, replacement kitchens and bathrooms, updated heating systems. 
All Councils have been set a target of raising the standard of all its properties by the year 2010 by the Government in England and Wales or by 2015 by the Scottish Executive in Scotland .",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Home modernisation - council properties' to 'Housing - council - home modernisation' in version 3.00. Name changed to 'Council home modernisation' in version 4.00.,Service,
58,Council tax account enquiries,"The council tax service provides householders with information relating to their council tax and payments.  This may include information on payments, arrears, discount eligibility etc. and copies of bills.",2013-04-03,2013-04-03,Term name changed from' Individual account enquiries (incl. new accounts)' to 'Council tax - individual account enquiries' and scope notes added in version 2.02. Name changed to 'Council tax account enquiries' in version 4.00.,Service,
57,Council tax annual notification,"Council tax is payable on domestic dwellings and is charged by the local authority to pay for the services it provides.  The council tax rates should be published each year together with information on how rates are assessed, eligibility, how to pay etc.  The council should also provide information on how to appeal if you think your council tax bill is incorrect.",2013-04-03,2013-04-03,"Term name changed from' General information (incl. valuation, arrears, refunds)' to 'Council tax (valuation, arrears, refunds etc.)' and scope notes added in version 2.02. Term name changed from 'Council tax (valuation, arrears, refunds etc.)' to 'Council tax - annual notification' in version 3.00. Name changed to 'Council tax annual notification' in version 4.00.",Service,
61,Council tax band reductions,The local authority may give a band reduction in order to recalculate the amount of council tax payable if a permanently disabled person lives in a dwelling with certain features which are essential or of major importance to the well being of the disabled person.,2013-04-03,2013-04-03,Term name changed from 'Band reductions (incl. disability)' to 'Band tax reductions (incl. disability)' and scope notes added in version 2.02. Term name changed from 'Band tax reductions (incl. disability)' to 'Council tax - band reductions' in version 3.00. Name changed to 'Council tax band reductions' in version 4.00.,Service,
65,Council tax benefit appeals,A claimant who may be affected by a relevant decision regarding council tax benefit may request the local authority to revise its decision and also the independent appeals tribunal to consider the revised decision.,2013-04-03,2013-04-03,Term name changed from 'Appeals' to 'Council tax benefit appeals' and scope notes added in version 2.02. Term name changed from 'Council tax benefit appeals' to 'Council tax - benefit - appeals' in version 3.00. Name changed to 'Council tax benefit appeals' in version 4.00.,Service,
62,Council tax benefit backdated claims,A claimant may be eligible for their claim to be backdated if there is a valid reason why they were unable to apply for their council tax benefit earlier,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Backdating' to 'Council tax - benefit - backdated claim' in version 3.00. Name changed to 'Council tax benefit backdated claims' in version 4.00.,Service,
64,Council tax benefit current claim,A claimant in receipt of council tax benefit is responsible for informing  the local authority of any changes in their personal and financial circumstances which may affect their benefit.,2013-04-03,2013-04-03,Term name changed from 'Current claim' to 'Current claim (council tax benefit)' and scope notes added in version 2.02. Term name changed from 'Current claim (council tax benefit)' to 'Council tax - benefit - current claim' in version 3.00. Name changed to 'Council tax benefit current claim' in version 4.00.,Service,
63,Council tax benefit new claim,A claimant may be eligible to claim council tax benefit if they are on low income or in receipt of income support or job seekers allowance.,2013-04-03,2013-04-03,Term name changed from 'New claim' to 'Council tax benefit - new claim' and scope notes added in version 2.02. Term name changed from 'Council tax benefit - new claim' to 'Council tax - benefit - new claim' in version 3.00. Name changed to 'Council tax benefit new claim' in version 4.00.,Service,
66,Council tax benefit overpayments,Where a claimant has been provided with a benefit greater than that to which they are entitled the local authority is required to inform the claimant and where necessary seek to recover the overpayment by issuing a revised council tax bill.,2013-04-03,2013-04-03,Term name changed from 'Overpayments' to 'Council tax benefit - overpayments' and scope notes added in version 2.02. Term name changed from 'Council tax benefit - overpayments' to 'Council tax - benefit - overpayments' in version 3.00. Name changed to 'Council tax benefit overpayments' in version 4.00.,Service,
67,Council tax benefit renewal,Local authorities may review the circumstances of anyone who is currently receiving housing and council tax benefit by issuing a change in circumstances form or by carrying out a visit.,2013-04-03,2013-04-03,Term name changed from 'Renewal' to 'Council tax benefit - renewal' and scope notes added in version 2.02. Term name changed from 'Council tax benefit - renewal' to 'Council tax - benefit - renewal' in version 3.00. Scope notes updated in version 3.06. Name changed to 'Council tax benefit renewal' in version 4.00.,Service,
59,Council tax discount,Processing of requests and assessment of eligibility for a single person or other discount on their council tax.,2013-04-03,2013-04-03,Term name changed from 'Discount' to 'Council tax discount' and scope notes added in version 2.02. Term name changed from 'Council tax discount' to 'Council tax - discount' in version 3.00. Name changed to 'Council tax discount' in version 4.00.,Service,
60,Council tax exemptions,The council tax exemption scheme may exempt unoccupied and occupied properties from council tax.,2013-04-03,2013-04-03,Term name changed from 'Exemptions' to 'Council tax exemptions' and scope notes added in version 2.02. Term name changed from 'Council tax exemptions' to 'Council tax - exemptions' in version 3.00. Name changed to 'Council tax exemptions' in version 4.00,Service,
109,Council tenant advice,"A local authority will provide existing tenants with advice and assistance on matters such as rents, transfers, mutual exchanges and general matters relating to tenancy.  This may also include advocacy where necessary.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Existing council tenancy' to 'Housing - council - tenants - advice and support' in version 3.00.  Scope notes changed in version 3.01. Name changed to 'Council tenant advice' in version 4.00.,Service,
1574,Councillors allowances and expenses,Publication of details of allowances and expenses paid to councillors in a municipal year.,2011-02-21,2011-02-21,Added scope notes in version 3.12.,Service,
